digital,数字量
brake resistor,制动电阻
software architecture,软件架构
bus cable,总线电缆
compressed air,压缩空气
minimum cycle time,最短循环时间
AC inverter drive,交流变频驱动
electronic product,电气产品
low power output,低功率输出
multi-process system,多进程系统
communication protocol,通信协议
flash slot,闪存槽
cable interference,电缆干扰
servo control,伺服控制
general automation,通用自动化
robotic automation system,机器人自动化系统
main mechanical,机械主体
industry 4.0,工业4.0
PC-base controller,基于PC的控制器
working range,工作范围
virtual simulation,虚拟仿真
single arm robot,单臂机器人
